,alpha,beta,gamma,tau,scf_cc,nn_scf_cc
0,4,0.2,8,0.2,0.184353334,0.16657682
1,4,0.3,8,0.2,0.542917074,0.5493071
2,4,0.4,8,0.2,0.602492871,0.61436737
3,4,0.5,8,0.2,0.646414673,0.66279036
4,4,0.6,8,0.2,0.677590209,0.70910805
5,4,0.7,8,0.2,0.693692155,0.75032663
6,22,0.2,8,0.2,0.185574933,0.18670367
7,22,0.3,8,0.2,0.549301725,0.5581993
8,22,0.4,8,0.2,0.615405617,0.63158953
9,22,0.5,8,0.2,0.659444409,0.6635078
10,22,0.6,8,0.2,0.689359374,0.69542605
11,22,0.7,8,0.2,0.705340802,0.71217215
12,40,0.2,8,0.2,0.185573167,0.18965484
13,40,0.3,8,0.2,0.549338925,0.56709146
14,40,0.4,8,0.2,0.615410789,0.6323069
15,40,0.5,8,0.2,0.659447423,0.6642253
16,40,0.6,8,0.2,0.689365558,0.69614345
17,40,0.7,8,0.2,0.705340762,0.7053472
18,4,0.2,14,0.2,0.716410847,0.7110745
19,4,0.3,14,0.2,0.797058711,0.76881546
20,4,0.4,14,0.2,0.847392543,0.8429796
21,4,0.5,14,0.2,0.849292576,0.858984
22,4,0.6,14,0.2,0.905977167,0.8888779
23,4,0.7,14,0.2,0.919305299,0.9445102
24,22,0.2,14,0.2,0.71886641,0.71586335
25,22,0.3,14,0.2,0.805846416,0.7929629
26,22,0.4,14,0.2,0.855061037,0.8364586
27,22,0.5,14,0.2,0.8441851,0.85246307
28,22,0.6,14,0.2,0.888342659,0.8684675
29,22,0.7,14,0.2,0.890613186,0.8844719
30,40,0.2,14,0.2,0.71887558,0.72159207
31,40,0.3,14,0.2,0.805877749,0.8171104
32,40,0.4,14,0.2,0.855054592,0.83191407
33,40,0.5,14,0.2,0.844189012,0.8459421
34,40,0.6,14,0.2,0.888353698,0.86194646
35,40,0.7,14,0.2,0.890605096,0.87795097
36,4,0.2,20,0.2,0.519626097,0.8994487
37,4,0.3,20,0.2,1.013191519,1.0464977
38,4,0.4,20,0.2,1.030693774,1.054261
39,4,0.5,20,0.2,1.054290024,1.0547773
40,4,0.6,20,0.2,1.057208783,1.0769713
41,4,0.7,20,0.2,1.067610398,1.1173993
42,22,0.2,20,0.2,0.524143502,0.92348564
43,22,0.3,20,0.2,1.01987765,1.05456
44,22,0.4,20,0.2,1.023452153,1.0457321
45,22,0.5,20,0.2,1.013279025,1.0369045
46,22,0.6,20,0.2,0.997722235,1.0280766
47,22,0.7,20,0.2,1.003120193,1.0192488
48,40,0.2,20,0.2,0.923294945,0.9543943
49,40,0.3,20,0.2,1.019874011,1.0493379
50,40,0.4,20,0.2,1.023417036,1.04051
51,40,0.5,20,0.2,1.013212153,1.0316823
52,40,0.6,20,0.2,0.9976075,1.0228546
